,numPhotos,price,propertyType,size,exterior,rooms,bathrooms,distance,priceByArea,hasPlan,has360,hasVideo,description,hasLift,parkingSpace_included_in_listing,municipality,floor,floor_grouped,municipality_grouped
113,22,595.0,flat,55.0,True,1,1,29699,10.818181818181818,True,False,False,"Lacasaquebuscas alquila en exclusiva vivienda semi-nueva de 55 m aprox. situada en el casco Urbano del pueblo de Quijorna - Comunidad de Madrid. Está vivienda está amueblada y distribuida en: hall de entrada, salón independiente, cocina totalmente amueblada y equipada con electrodomésticos, 1 dormitorio, 1 baño completo, plaza de garaje, ambos en el propio edificio. El pueblo de Quijorna se encuentra a 7 km de Villanueva de la Cañada sede del Campus Universitario Alfonso X el Sabio y de la Universidad Camilo José Cela. En el precio no están incluidos los honorarios profesionales que serán de cuenta del inquilino (1 mensualidad más 21%de Iva ).",False,True,Quijorna,1.0,1.0,Other
114,14,700.0,flat,45.0,False,1,1,1113,15.555555555555555,False,False,False,Fabuloso piso Costa de un dormitorio salón baño completo cocina amueblada equipada con electrodomésticos suelo de tarima ventanas de que llamar y puerta de la calle blindad el piso está situado a escasos minutos del metro puerta Toledo rodeado de varias líneas de autobuses a cinco minutos de la plaza mayor y todo las comodidades que te ofrece este piso exclusivo para estudiante no dudes en visitarlo.,False,False,Madrid,1.0,1.0,Madrid
116,6,500.0,flat,45.0,True,1,1,32188,11.11111111111111,False,False,False,"REDPISO VALDEMORILLO ALQUILA piso de una habitación, salón con cocina americana totalmente equipada, un baño, la vivienda se entrega amueblada, se requerirá documentación para realizar estudio de solvencia, NO MASCOTAS, condiciones, mes en curso+ mes de fianza +mes de garantia+mes de honorarios de agencia. disponible 1 de octubre.",False,False,Valdemorillo,unknown,nan,Other
119,6,700.0,flat,75.0,True,2,1,43915,9.333333333333334,True,False,True,"En aranjuez. Inmobiliaria capiter alquila piso de 2 dormitorio semi amueblado en nuevo aranjuez. La vivienda tiene 70 m2 que se distribuye en salon, cocina, 2 dormitorios, baño y terraza. Amplio dormitorio con cama de 150 cm y armario. La cocina dispone de electrodomesticos. Baño con plato de ducha. Vivienda completamente exterior con terraza a la calle. Reformada. Tiene suelos de tarima, calefacción de gas natural, doble ventana, aire acondicionado. Proximamente fotos de la vivienda. Muy cerca de todos los servicios, parques colegios, comercios, zona de ocio … a un paso del centro de aranjuez. No dude en visitarlo.  en aranjuez. Inmobiliaria capiter alquila piso de 2 dormitorio semi amueblado en nuevo aranjuez. La vivienda tiene 70 m2 que se distribuye en salon, cocina, 2 dormitorios, baño y terraza. Amplio dormitorio con cama de 150 cm y armario. La cocina dispone de electrodomesticos. Baño con plato de ducha. Vivienda completamente exterior con terraza a la calle. Reformada. Tiene suelos de tarima, calefacción de gas natural, doble ventana, aire acondicionado. Proximamente fotos de la vivienda. Muy cerca de todos los servicios, parques colegios, comercios, zona de ocio … a un paso del centro de aranjuez. No dude en visitarlo.",False,False,Aranjuez,1.0,1.0,Other
121,8,675.0,duplex,87.0,True,2,2,44503,7.758620689655173,False,False,False,"Se Alquila o vende piso dúplex de 87 m2 con dos habitaciones en la planta de arriba y un cuarto de baño completo. En la planta de abajo tiene un salón, cocina y un cuarto de baño completo. Calefacción eléctrica, balcón, piso muy nuevo, semi amueblado ( si tiene electrodomésticos, mesa y sillas en salón y cocina. dos sofás y una cama de matrimonio). Disponible para Noviembre. Cocina Office totalmente equipada.",False,False,Miraflores de la Sierra,2.0,2.0,Other
122,10,650.0,flat,45.0,True,1,1,37741,14.444444444444445,False,False,False,"Vivienda 2000 alquila casa de pueblo de unos 45 metros en Pedrezuela. La vivienda tiene cocina independiente, sala de estar, cuarto de baño y 1 dormitorio.  La cocina cuenta con lavadora y frigorífico. En el caso de ser necesario, se podría disponer de 1 plaza de garaje a 5 min andando. No se admiten mascotas y se solicitará documentación para la realización de seguro de alquiler.  Pregúntenos para más información.",False,True,Pedrezuela,0.0,0.0,Other
123,4,750.0,studio,55.0,True,0,1,918,13.636363636363637,True,False,False,"Magnífica vivienda, acabados en materiales nobles, portero físico, videoportero, ascensor, finca de reciente rehabilitación en zona céntrica próxima a comercios y transporte público. imprescindible aval bancario (mínimo equivalente a 6 mensualidades). Gastos de comunidad incluidos. Posibilidad de trastero en la misma finca.",True,False,Madrid,2.0,2.0,Madrid
124,17,720.0,studio,45.0,True,0,1,15433,16.0,True,True,True,"Fantástico loft localizado en la Avenida de Juncal 11, San Sebastián de los Reyes, zona a la que se puede acceder por autobús de la línea 180, 191 Y 193. Está cerca de elementos de interés cercanos como restaurantes. Supermercados y muy cerca del Centro Comercial Plaza Norte 2, Ikea, Leroy Merlin, Parque Arroyo de la Vega, etc. El piso tiene una estancia de 45 m2 y es exterior. Está distribuido en una planta diáfana (Espacio que puede distribuirse en varios ambientes, ideal para el dormitorio y cocina equipada con placa vitrocerámica, lavadora, microondas, frigorífico y aire acondicionado). Cuenta también con un baño completo. La vivienda es muy luminosa, con muy buena orientación y rápido acceso a las principales carreteras. Se sitúa la vivienda en una excelente orientación en urbanización cerrada con vigilancia, jardín, pista de pádel, gimnasio y piscinas (una en el jardín y otra en la azotea). REQUISITOS DE ALQUILER: - Condiciones económicas: Renta del mes en curso + un mes fianza + un mes de agencia + IVA (21%). - Requisitos: Aportar el contrato de trabajo y las TRES últimas nóminas si es autónomo la última declaración de la renta + modelo 303 y 309.  - Los suministros están dados de alta y corren a cargo del inquilino. ESPECIAL BONIFICACIÓN: 1 año, renta 6 primeros meses (10% descuento): 648€ 1 año, renta 6 segundos meses (5% descuento): 684€ 2 año, renta: 720€ Contacto: Alejandra Valderrama Tel. 682 447 801 Correo electrónico: alejandra. valderrama @sleepbystay. com.",True,False,San Sebastián de los Reyes,5.0,4,Other
125,22,624.0,flat,45.0,True,1,1,24077,13.866666666666667,True,False,True,"SIN GASTOS DE AGENCIA, NI COMISIONES ESTRENA VIVIENDAS A ESTRENAR EN VALDEMORO Piso a estrenar de 2 dormitorios con 2 baños, que cuenta con todas las comodidades, aire acondicionado, calefacción, baño equipado, cocina amueblada y equipada con horno, vitrocerámica, campana, terraza y de cuidado diseño y distribución.  REQUISITOS DE ACCESO A VIVIENDA PROTEGIDA: no tener vivienda en propiedad, ingresos mínimos de 19.000€ anuales y tener nacionalidad o residencia española según marca el decreto 74/2009 sobre la vivienda protegida en régimen de alquiler.  Alquila tu hogar con Alkira Living. Hemos hecho viviendas pensando en personas que buscan crear un hogar lleno de emociones y energía. Además, nos encantan las mascotas y queremos ayudarte a darles el espacio que merecen.  Es un edificio altamente sostenible que combina un diseño moderno y minimalista, con elementos originales. Integra ascensor en unas amplias zonas de paso, conserjería, sistema de vigilancia 24 horas y zonas comunes al aire libre con parque infantil y piscina. Las instalaciones y los servicios del edificio son respetuosas con el medio ambiente y tiene muy baja huella de carbono (Consulta el certificado energético). Estamos comprometidos con el planeta, con el correcto reparto de los recursos y ahorro energético y económico. CARACTERÍSTICAS •Armarios empotrados •Cocina totalmente amueblada •Baño totalmente equipado •Suelos de tarima  •Aire acondicionado •Calefacción individual •Terraza •Ascensor •Trastero incluido •Plaza de garaje incluida •Piscina •Área infantil •Fotos de vivienda piloto. Posibilidad de amueblar todas las viviendas. UBICACIÓN Calle Agustina de Aragón 49 en una tranquila área residencial de nueva construcción, cerca instalaciones deportivas, colegios, ocio y situado en una de las zonas de mayor crecimiento de Madrid. ¡Consulta condiciones, disponibilidad y visita tu próximo hogar hoy!",True,True,Valdemoro,unknown,nan,Other
126,22,633.0,flat,45.0,True,1,1,24077,14.066666666666666,True,False,True,"NECESITAS UN 33% DE MINUSVALÍA PARA PODER ALQUILAR ESTE PISO. VIVIENDA ADAPTADA CON TERRAZA. SIN GASTOS DE AGENCIA, NI COMISIONES. Estrena casa con Alkira Living con tu MASCOTA. Piso a estrenar de 1 dormitorio con 1 baños, que cuenta con todas las comodidades, aire acondicionado, calefacción, baño equipado, cocina amueblada y equipada con horno, vitrocerámica, campana, terraza y de cuidado diseño y distribución.  REQUISITOS DE ACCESO A VIVIENDA PROTEGIDA: no tener vivienda en propiedad, ingresos mínimos de 19.000€ anuales y tener nacionalidad o residencia española según marca el decreto 74/2009 sobre la vivienda protegida en régimen de alquiler.  Alquila tu hogar con Alkira Living. Hemos hecho viviendas pensando en personas que buscan crear un hogar lleno de emociones y energía. Además, nos encantan las mascotas y queremos ayudarte a darles el espacio que merecen.  Es un edificio altamente sostenible que combina un diseño moderno y minimalista, con elementos originales. Integra ascensor en unas amplias zonas de paso, conserjería, sistema de vigilancia 24 horas y zonas comunes al aire libre con parque infantil y piscina. Las instalaciones y los servicios del edificio son respetuosas con el medio ambiente y tiene muy baja huella de carbono (Consulta el certificado energético). Estamos comprometidos con el planeta, con el correcto reparto de los recursos y ahorro energético y económico. CARACTERÍSTICAS •Armarios empotrados •Cocina totalmente amueblada •Baño totalmente equipado •Suelos de tarima  •Aire acondicionado •Calefacción individual •Terraza •Ascensor •Trastero incluido •Plaza de garaje incluida •Piscina •Área infantil •Fotos de vivienda piloto. Posibilidad de amueblar todas las viviendas. UBICACIÓN Calle Agustina de Aragón 49 en una tranquila área residencial de nueva construcción, cerca instalaciones deportivas, colegios, ocio y situado en una de las zonas de mayor crecimiento de Madrid. ¡Consulta condiciones, disponibilidad y visita tu próximo hogar hoy!",True,True,Valdemoro,unknown,nan,Other
127,22,640.0,studio,33.0,True,0,1,11189,19.393939393939394,True,False,False,"Luminoso y moderno estudio, en urbanización de nueva construcción con piscina. Bonito, práctico y con estupendas vistas.  Urbanización privada con servicio de portería, zonas comunes y piscina.  Posibilidad de plaza de garaje por 40 € al mes adicionales. Se alquila sin amueblar, con cocina equipada: frigorífico, congelador, lavadora, vitro cerámica de 4 fuegos, campana extractora, horno eléctrico y microondas. Bien comunicado. Metro Valdecarros (L1) y paradas de autobuses 142, 145 y N9 a 300 metros del portal. Acceso inmediato a la A3.  En PAU de Vallecas. Zona de nueva ocupación, muy tranquila, con muchas zonas verdes y todos los servicios: supermercados, colegios, farmacias, terrazas y restaurantes, comercios de todo tipo… muy próximo al Centro Comercial La Gavia. Condiciones económicas: Un mes de fianza.  Honorarios de agencia a abonar por inquilino de un mes de renta + IVA. Alquiler con seguro de impago. La prima del seguro a cargo de la propiedad. Se pedirá documentación para acreditar la solvencia. Llama y reserva tu cita.",True,False,Madrid,2.0,2.0,Madrid
128,14,645.0,flat,84.0,True,2,2,43827,7.678571428571429,False,True,False,"Nuevo curso, nuevo hogar ¡con hasta 1 MES GRATIS y SIN COMISIÓN DE AGENCIA en tu alquiler!  Acogedora vivienda de 2 dormitorios, con cocina y baños equipados.  *Es condición esencial permanecer en la vivienda al menos 12 meses, de no ser así la promoción quedará sin efectos con carácter retroactivo, viniendo obligado a devolver los importes mensuales de la promoción que se haya beneficiado   ¡ALTA DE SUMINISTROS GRATIS! Disfruta de tu hogar desde el primer momento, Testa Home te ayuda en la gestión del alta de suministros de manera gratuita, con lo que podrás ahorrar hasta 335 € por el alta de la luz y el gas. *Para una vivienda con gasto promedio de 4,4 KWh   Vivienda sin amueblar.  En perfecto estado de alquiler. Suelos de parquet y armarios empotrados. Cocina básica Calefacción individual. Trastero incluido en el precio. El edificio se encuentra en el centro de Aranjuez (al sur de Madrid) muy bien comunicado en transporte público y accesible a todos los servicios.  Muy próximo a colegios, bancos, supermercados y muy cerca de la universidad.  Las promociones de bienvenida de cada edificio se aplicarán en la promoción para todas las reservas firmadas desde el 01/09/2022 y los contratos firmados hasta el 30/09/2022. A partir del 30/09/2022 la promoción puede estar sujeta a cambios en la bonificación de bienvenida. Excepto selección de viviendas de VPO. Esta promoción no es acumulable con otras campañas y promociones. *Viviendas no amuebladas.",True,False,Aranjuez,2.0,2.0,Other
129,12,750.0,flat,46.0,False,1,1,1069,16.304347826086957,True,True,False,"Magnífica vivienda, acabados en materiales nobles, portero físico, vídeo portero, ascensor, finca de reciente rehabilitación en zona céntrica próxima a comercios y transporte público. IMPRESCINDIBLE AVAL BANCARIO (MÍNIMO EQUIVALENTE A 6 MENSUALIDADES). GASTOS DE COMUNIDAD INCLUIDOS.",False,False,Madrid,3.0,3.0,Madrid
130,16,735.0,studio,35.0,True,0,1,11088,21.0,True,True,False,"Se alquila apartamento en edificio único en Madrid lujo con portal de 1. 000 m2 en el que se ubica una exposición de coches clásicos permanente.  Calefacción, agua, luz, aire acondicionado y plaza de parking por solo 100€ más al mes. Nueva construcción, todo a estrenar, amueblado completamente, cama de matrimonio y cocina equipada con electrodomésticos. Junto a ciudad de Telefónica y ciudad del BBVA. Muy luminoso, exterior, ventana con doble acristalamiento y contraventana. Dispone de armarios empotrados. El edificio dispone de conserje 24H con recepción de pedidos y paquetes. Muy bien conectado con M30, M40 y N1. A 3,9 km de plaza Castilla y a escasos metros del centro comercial Moraleja Green donde encuentras cines, multitud de tiendas y restaurantes como Vips, Tony Romas, Ginos, etc, así como Zara, Mango, etc. El Corte Inglés de Sanchinarro se encuentra 5 minutos en coche.  Muy bien conectado a distintas líneas de bus directas a Plaza Castilla, parada de metro a 900 metros, metro directo a plaza Castilla, Bernabéu, Nuevos Ministerios, Gran Vía, a sólo un trasbordo de metro de Colón, calle Alcalá, aeropuerto, Atocha, Ifema, etc. A 750 metros del Golf Park con campos de golf y padel. Mercadona y Carrefour a 2 minutos. Varias unidades disponibles. Telf contacto 24h: 628728465.",True,True,Madrid,1.0,1.0,Madrid
131,22,600.0,flat,55.0,True,1,1,25189,10.909090909090908,True,True,True,"Acogedor apartamento de 55m2 con 1 dormitorio y 1 baño en urbanización con piscina y jardines comunitarios. La renta incluye trastero y gastos comunitarios. DISPONIBLE A PARTIR DEL 20/09. Amplio salón comedor independiente, cocina amueblada y equipada con electrodomésticos y acceso a tendedero",False,False,Daganzo de Arriba,unknown,nan,Other
132,28,750.0,flat,75.0,True,3,1,8286,10.0,False,False,False,"Estupendo piso de 75 m2. Dispone de 3 habitaciones, amplio salón de paso con acceso a una terraza de 12m2, cocina amueblada y equipada, 1 baño con ducha, calefacción Individual de gas, aire acondicionado, exterior y amueblado. Gastos de comunidad incluidos en el precio de la renta.  Finca sin ascensor. Situado en una zona comercial junto a todos los servicios. A 7 minutos a pie de la estación de Renfe y Metro ""Villaverde Alto"" (C-5 y L-3) y líneas de autobuses 22-432-438-N14. No se aceptan animales.",False,False,Madrid,unknown,nan,Madrid
133,1,600.0,penthouse,25.0,True,1,1,183,24.0,True,True,False,"Magnífica vivienda, acabados en materiales nobles, portero físico, videoportero, ascensor, finca de reciente rehabilitación en zona céntrica próxima a comercios y transporte público. Imprescindible aval bancario (mínimo equivalente a 6 mensualidades). Gastos de comunidad incluidos. Posibilidad de trastero en la misma finca (75€+iva / mes).",True,False,Madrid,5.0,4,Madrid
134,30,705.0,flat,48.0,True,1,1,11472,14.6875,True,False,False,"Vivienda de 1 dormitorio totalmente exterior, con primeras calidades. Salón/Cocina muy moderna con espacio totalmente abierto. Suelo de tarima en toda la vivienda, armario empotrado en dormitorio, y baño con espejo y mampara incluida. ZONAS COMUNES: Piscina y Gimnasio recién estrenado.  Calle Arte pop 8, está ubicada en el PAU de Vallecas, un nueva área residencial dentro de Madrid con amplias zonas verdes, parques, centros docentes, complejos deportivos, espacios sociales, un gran centro comercial y numerosas calles peatonales. una inteligente distribución de las viviendas, aprovechando los espacios lo mejor posible.  Excelentes calidades y sus zonas comunes hacen de arte pop 8 un lugar ideal para vivir, piscina, zona de juegos, que incluyen plaza de garaje y trastero.  Consulte condiciones y disponibilidad.  Sin comisiones de agencia. Vivienda no amueblada.  REQUISITOS  1 mes de fianza + seguro de impago. Contrato indefinido de más de un año de antigüedad. Seguro de vivienda (contenido). **La vivienda publicada y sus imágenes pueden no corresponderse a la disponibilidad real. **.",True,True,Madrid,4.0,4,Madrid
136,35,650.0,flat,62.0,True,2,1,43229,10.483870967741936,True,False,True,"Maravilloso piso en Guadarrama Nuria alquila su piso en Guadarrama, un espacio para disfrutar en tu día a día. Características: - Genial piso de 62 m2 en Guadarrama. (Los metros cuadrados están verificados con la Dirección General de Catastro) - La vivienda dispone de 2 habitaciones y 1 baño, tanto las habitaciones como el baño y la cocina de la casa son exteriores. - Cálido salón que es un lugar perfecto para descansar tras una jornada de trabajo, siendo además, un espacio agradable estupendo para visitas de amigos y familiares. - Además dispone de armarios empotrados. - Amueblado - Con una efectiva cocina muy completa. - Calefacción por gas con programador. - Terraza - Podemos disfrutar de una amplia zona deportiva (tenis, paddle, futbol, baloncesto... ) y comercial (alimentación y restaurantes) dentro de la urbanización. - Además de amplios jardines comunitarios. - Piscina olímpica comunitaria y piscina infantil. - Fianza 2 meses. - Honorarios de agencia. El piso se encuentra en Madrid, en la localidad de Guadarrama, con todos los servicios que puedas necesitar para facilitar tus días en todo momento. Sobre nosotros: Housfy es una plataforma tecnológica que ofrece al propietario/a todos los servicios necesarios para que pueda alquilar la propiedad por su cuenta. Para más información, visítenos en housfy. com. AICAT número: 7922.",False,False,Guadarrama,3.0,3.0,Other
138,29,700.0,duplex,61.0,True,2,1,23917,11.475409836065571,False,False,False,"¿BUSCA ALQUILER? Dúplex en Cobeña con magnífica ubicación. Disponible para entrar a vivir. Se compone de 2 plantas las cuales cuentan con Cocina independiente, amueblada y electrodomésticos básicos, tendedero con acceso desde la cocina, salón independiente con aire acondicionado y bomba de calor y aseo, en la planta principal. En la planta superior cuenta con dos dormitorios con armarios empotrados, forrados y vestidos, con ventanas de velux. y un baño completo con bañera. Es la oportunidad de que viva en un agradable municipio con colegios, centro médico, supermercados y situado a 20 minutos de Alcobendas y 25 de Alcalá de Henares. Cuenta con amplios horarios en línea de autobuses. ¡ La zona es una decisión importante para tener en cuenta! Fresno Inmobiliaria Tu confianza es nuestra motivación Encuentra más en.",False,False,Cobeña,1.0,1.0,Other
139,14,650.0,studio,40.0,False,0,1,5088,16.25,False,False,False,"Servicheck Alquila, información con Miguel Rojas al 685.475. 779 también atiende por WhatsApp  Se alquila magnifico estudio en la zona de Berruguete. El piso consta de un baño con bañera, cocina totalmente equipada independiente, salón-dormitorio equipado.  Muy bien comunicado con C/ bravo murillo donde se encuentra todos los comercios y el ocio. Además de tener un Mercadona a tan solo 7 minutos de la vivienda. Bien comunicado con la linea 1 ( tetuan / estrecho. ) a tan solo 8 minutos de la vivienda. Mejor ver. Para visitas e información contactar con Miguel al 685_475_779 (También se atiende por Whatsapp).",True,False,Madrid,0.5,0.5,Madrid
140,16,700.0,flat,40.0,True,1,1,3076,17.5,False,False,False,"¡OPORTUNIDAD! - Para información y visitas preguntar por Beatriz en el 615_971_619 (también se atiende por WhatsApp) - Para una mejor experiencia visual entrar en el tour virtual en 3D. SERVICHECK alquila bonito piso recién reformado en la zona de Puerta del Ángel. La vivienda se encuentra en una planta baja. Está distribuida de la siguiente manera: - Salón. - Cocina americana amueblada y equipada con frigorífico, vitrocerámica, campana, horno, lavadora/secadora, lavavajillas y microondas. - Dormitorio con armario empotrado. - Baño con plato de ducha. La vivienda es exterior y cuenta con calefacción y aire acondicionado por bomba frío/calor. Suelos de tarima. Se alquila sin amueblar. A escasos metros de la vivienda puedes encontrar supermercados como DIA, fruterías, Farmacia, restaurantes y todo tipo de servicios. Infórmate sin compromiso contactando con Beatriz 615_971_619 (también se atiende por WhatsApp).",False,True,Madrid,0.0,0.0,Madrid
141,30,730.0,flat,51.0,True,2,1,6767,14.31372549019608,True,True,True,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de dos dormitorios y un baño. Se encuentra en la cuarta planta de un edificio residencial. No dispone de ascensor. Situado en el barrio de Los Rosales en el distrito de Villaverde, Madrid. La vivienda se distribuye en dos dormitorios, salón-comedor con acceso a terraza, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias.  Se encuentra ubicado en Villaverde al sur de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es Villaverde Bajo Cruce y se encuentra a 8 minutos caminando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",False,False,Madrid,4.0,4,Madrid
142,35,750.0,flat,50.0,True,2,1,8331,15.0,True,True,True,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de dos dormitorios y un baño. Se encuentra en la tercera planta de un edificio residencial. No dispone de ascensor. Situado en el barrio de Casco Histórico en el distrito de Villa Vallecas. La vivienda se distribuye en dos dormitorios (uno de ellos con armario empotrado), salón-comedor, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en todas las estancias.  Se encuentra ubicado en Villa Vallecas al Sur de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es Villa de Vallecas y se encuentra a 3 minutos caminando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",False,False,Madrid,3.0,3.0,Madrid
143,29,680.0,flat,56.0,True,2,1,19298,12.142857142857142,True,True,True,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de dos dormitorios y un baño. Se encuentra en la tercera planta de un edificio residencial. No dispone de ascensor. Situado en el centro de Torrejón de Ardoz. La vivienda se distribuye en dos dormitorios, salón-comedor con acceso a terraza acristalada, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias.  Se encuentra ubicado en Torrejón de Ardoz, al noreste de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es Torrejón de Ardoz y se encuentra a 12 minutos caminando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",False,False,Torrejón de Ardoz,3.0,3.0,Other
144,29,710.0,flat,78.0,True,3,1,21617,9.102564102564102,True,True,True,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de tres dormitorios y un baño. Se encuentra en la cuarta planta de un edificio residencial. No dispone de ascensor. Situado en el distrito de Fuentebella, en Parla. La vivienda se distribuye en tres dormitorios, salón-comedor, cocina independiente, un baño y amplio balcón. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias. Se encuentra ubicado en Parla, al sur de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",False,False,Parla,4.0,4,Other
145,29,720.0,flat,47.0,True,2,1,7088,15.319148936170214,True,True,True,"""PROMOCIÓN: 1 mes de alquiler GRATIS. Y además, ¡sin comisiones de agencia! Excelente piso de dos dormitorios y un baño. Se encuentra en la primera planta de un edificio residencial. No dispone de ascensor. Situado en el barrio de Amposta en el distrito de San Blas, Madrid. La vivienda se distribuye en dos dormitorios, salón-comedor, cocina independiente y un baño. Cuenta con cocina amueblada y equipada con muebles altos y bajos, vitrocerámica, horno y campana extractora. Dispone de suelos de gres en cocina y baño y tarima en el resto de estancias.  Se encuentra ubicado en San Blas al este de Madrid. Cuenta con fácil acceso a través de las principales carreteras y buenas comunicaciones por transporte público con diversas líneas de autobuses. La parada de metro más cercana es San Blas y se encuentra a 8 minutos caminando.  En su entorno existen viviendas plurifamiliares de similares características. La zona cuenta con todo tipo de servicios básicos, tales como, sanitarios, educativos, restaurantes, supermercados, comercios, parques… *Promoción válida para contratos firmados antes de 30 de septiembre del 2022 (incluido). Esta promoción no es acumulable. Condiciones válidas para inmuebles identificados en portales con detalle promocional de campaña identificado en descriptivo del anuncio. "".",False,False,Madrid,1.0,1.0,Madrid
146,12,750.0,studio,43.0,True,0,1,5332,17.441860465116278,False,False,False,"Estudio seminuevo de 43m2, dispone de amplio salón-dormitorio, cocina amueblada y equipada independiente, 1 baño con bañera, armarios empotrados, calefacción individual de Gas Natural y suelos de tarima. Piso amueblado muy luminoso y exterior. Finca con ascensor y tendedero comunitario. Gastos de comunidad y trastero incluidos. Situado en zona comercial con todos los servicios, Estaciones de Metro mas cercanas "" Tetuán"" (L-1) y "" Valdeacederas"" (L-1). No se admiten animales.",True,False,Madrid,unknown,nan,Madrid
148,12,695.0,studio,40.0,True,0,1,12376,17.375,False,False,False,"Estudio de obra nueva a estrenar de 40m2, distribuidos en un espacio diáfano con cocina amueblada y completamente equipada, 1 baño, y 2 balcones hacia el exterior. Calefacción individual a gas natural, ventanas climalit con rotura puente térmico, exterior, sin amueblar. Finca con ascensor y jardines. Plaza de garaje y gastos de comunidad incluidos en el precio. Animales a consultar. Zona tranquila con todos los servicios.  Metro más cercano ""Barajas"" (L8). EMT Autobuses: 101, 105, 115 y N4. Más información y video visita en nuestra web.",True,True,Madrid,unknown,nan,Madrid
150,42,750.0,flat,90.0,True,3,1,26401,8.333333333333334,False,False,False,"Piso de 90m2 distribuidos en: hall de entrada, amplio salón, cocina amueblada y equipada, 3 habitaciones, 1 baño completo con plato de ducha, y terraza. Calefacción Individual a gas natural, ventanas climalit, suelos de parquet y terrazo, exterior, sin amueblar. Finca con ascensor. Gastos de comunidad incluidos en el precio. No se aceptan animales. Zona tranquila con todos los servicios. Autobuses: 181, 182, 183, 185, 263 y N103. Más información, y video visita en nuestra web.",True,False,Algete,unknown,nan,Other
151,1,730.0,flat,50.0,True,1,1,8717,14.6,False,False,False,"""SERVICHECK ALQUILA APARTAMENTO DE UN DORMITORIO, PARA MAS INFORMACIÓN Y VISITA LLAMAR A MIGUEL ROJAS AL 685.475. 779 TAMBIÉN ATINDE POR WHATSAPP. El piso de 50mts consta de: 1 dormitorio con armario empotrado, salón muy luminoso, 1 Cuarto de baño, Cocina equipada con frigorífico, lavadora, lavavajillas, horno, vitrocerámica, campana. Suelos de tarima flotante excepto baño y cocina que tienen baldosa. Plaza de Garaje incluida en el precio. Contáctanos y te lo mostramos sin compromiso alguno ya que sabemos que en persona supera las expectativas. "". "". "". "".",True,True,Madrid,2.0,2.0,Madrid
